0,1,2,3
S-OIL,동안주유소,1337,1237
S-OIL,양산제일주유소,1338,1238
SK에너지,양산으뜸주유소,1338,1238
SK에너지,양산공단주유소,1338,1238
S-OIL,비학에너지(주)셀프,1338,1238
GS칼텍스,부성주유소,1338,1238
S-OIL,양산목련주유소,1339,1239
GS칼텍스,새양산IC주유소,1339,1239
현대오일뱅크,(주)건연화물석계주유소,1339,1219
SK에너지,환타지아주유소,1339,1239
GS칼텍스,부원주유소,1345,1245
GS칼텍스,대동주유소,1349,1249
GS칼텍스,포유주유소,1349,1238
현대오일뱅크,송강주유소,1350,1250
S-OIL,비학에너지(주)주유소충전소,1358,1258
SK에너지,통도사주유소,1358,1258
SK에너지,남양산 IC 주유소,1359,1259
SK에너지,화룡주유소,1368,1268
S-OIL,구도일주유소 다방,1369,1269
현대오일뱅크,대경주유소,1369,1269
SK에너지,동양주유소,1377,1277
S-OIL,아이시디 햇살주유소,1399,1239
S-OIL,물금주유소,1450,1350
SK에너지,삽량주유소,1558,1458
현대오일뱅크,만남주유소,1279,1179
현대오일뱅크,남강주유소,1285,1185
GS칼텍스,중앙주유소,1295,1195
NH-OIL,동부농협주유소,1325,1200
SK에너지,태양주유소,1325,1228
알뜰주유소,큰길주유소,1325,1225
현대오일뱅크,중동주유소,1328,1228
자가상표,의령농협주유소,1329,1229
SK에너지,의령농협클린주유소,1329,1229
GS칼텍스,동부주유소,1337,1239
S-OIL,대복주유소,1345,1245
S-OIL,신흥,1348,1248
S-OIL,이광주주유소,1349,1249
SK에너지,(주)의령주유소,1350,1265
GS칼텍스,(주)태화주유소직영남산주유소,1350,1270
현대오일뱅크,진등재주유소,1353,1253
SK에너지,신반주유소,1355,1255
GS칼텍스,창인주유소,1379,1279
알뜰주유소,신경남셀프주유소,1255,1155
알뜰주유소,세계주유소,1259,1162
알뜰주유소,금호주유소,1259,1159
NH-OIL,동부농협주유소,1260,1160
GS칼텍스,선학주유소,1265,1165
현대오일뱅크,명신주유소,1265,1195
GS칼텍스,천마주유소,1269,1169
NH-OIL,진주중부농협주유소,1270,1160
S-OIL,(주)경남석유 상대주유소,1273,1173
S-OIL,엔씨네트웍스성훈주유소,1273,1173
알뜰주유소,수정주유소,1273,1173
SK에너지,옥산주유소,1273,1173
SK에너지,새진주주유소,1273,1173
알뜰주유소,(주)인창주유소,1275,1175
자가상표,서진주주유소,1275,1175
알뜰주유소,강남주유소,1275,1175
SK에너지,국제주유소,1275,1175
GS칼텍스,연암주유소,1275,1175
S-OIL,구도일주유소 동부,1275,1179
GS칼텍스,봉곡주유소,1275,1175
GS칼텍스,강변주유소,1275,1175
자가상표,희망주유소,1275,1175
S-OIL,진주남부농협 호탄주유소,1275,1185
현대오일뱅크,청담주유소,1275,1185
S-OIL,큰들주유소,1275,1175
현대오일뱅크,새한주유소,1275,1175
S-OIL,(주)동호주유소,1275,1175
알뜰주유소,(주)명진에너지,1278,1178
GS칼텍스,새길주유소,1278,1178
SK에너지,삼일주유소,1278,1198
NH-OIL,진주진양농협주유소,1280,1180
S-OIL,초장주유소,1280,1180
GS칼텍스,금산농민주유소,1280,1180
SK에너지,금산주유소,1280,1180
SK에너지,새경남주유소,1280,1180
GS칼텍스,금성주유소,1280,1180
GS칼텍스,사봉주유소,1280,1180
NH-OIL,진주남부농협내동주유소,1285,1185
현대오일뱅크,촉석루주유소,1285,1185
NH-OIL,진주남부농협정촌주유소,1285,1185
S-OIL,나들목,1285,1195
S-OIL,(주)망경주유소,1285,1185
현대오일뱅크,현대주유소,1285,1185
SK에너지,용마주유소,1285,1185
현대오일뱅크,천수교주유소,1285,1185
